,rand_values,choices
0,"[2, 5]","[2, 5]"
1,"[6, 1]","[6, 1]"
2,"[5, 2]","[5, 6]"
3,"[3, 3]","[4, 3]"
4,"[1, 4]","[3, 4]"
5,"[1, 2]","[1, 2]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 1]"
8,"[3, 2]","[5, 6]"
9,"[3, 0]","[4, 5]"
10,"[2, 2]","[3, 0]"
11,"[1, 4]","[2, 4]"
12,"[1, 2]","[1, 3]"
13,"[0, 2]","[0, 2]"
14,"[6, 3]","[1, 3]"
15,"[6, 0]","[6, 6]"
16,"[2, 4]","[5, 5]"
17,"[4, 0]","[4, 0]"
18,"[0, 1]","[3, 4]"
19,"[0, 2]","[2, 2]"
20,"[0, 1]","[0, 1]"
21,"[3, 6]","[3, 6]"
22,"[4, 1]","[6, 5]"
23,"[4, 2]","[5, 2]"
24,"[1, 4]","[4, 4]"
25,"[0, 1]","[2, 3]"
26,"[0, 0]","[1, 1]"
27,"[0, 0]","[0, 0]"
28,"[5, 3]","[5, 6]"
29,"[3, 4]","[6, 4]"
30,"[3, 0]","[4, 3]"
31,"[3, 2]","[3, 5]"
32,"[0, 0]","[2, 2]"
33,"[1, 1]","[1, 1]"
34,"[0, 0]","[0, 0]"
35,"[2, 4]","[2, 4]"
36,"[5, 0]","[6, 6]"
37,"[1, 2]","[5, 0]"
38,"[3, 3]","[4, 3]"
39,"[1, 5]","[3, 5]"
40,"[0, 2]","[1, 2]"
41,"[0, 1]","[0, 1]"
42,"[5, 1]","[5, 6]"
43,"[3, 0]","[6, 5]"
44,"[2, 4]","[4, 1]"
45,"[1, 3]","[3, 4]"
46,"[2, 3]","[2, 3]"
47,"[1, 0]","[1, 2]"
48,"[0, 0]","[0, 0]"
49,"[3, 0]","[3, 0]"
50,"[2, 2]","[6, 6]"
51,"[4, 5]","[5, 5]"
52,"[0, 2]","[4, 3]"
53,"[0, 4]","[2, 4]"
54,"[0, 2]","[1, 2]"
55,"[0, 1]","[0, 1]"
56,"[1, 0]","[1, 5]"
57,"[6, 3]","[6, 4]"
58,"[0, 2]","[5, 6]"
59,"[2, 2]","[4, 2]"
60,"[0, 1]","[3, 0]"
61,"[2, 3]","[2, 3]"
62,"[0, 1]","[0, 1]"
63,"[2, 4]","[2, 4]"
64,"[0, 3]","[6, 6]"
65,"[3, 5]","[5, 5]"
66,"[3, 1]","[4, 3]"
67,"[1, 0]","[3, 2]"
68,"[1, 0]","[1, 1]"
69,"[0, 0]","[0, 0]"
70,"[1, 6]","[1, 6]"
